record_id_1,record_id_2,similarity_score
3510,16033,0.85
3510,19203,0.85
5502,8168,0.85
8987,13893,0.85
8987,18059,0.85
8987,21215,0.85
13893,18059,0.85
13893,21215,0.85
14134,30219,0.85
14134,32083,0.85
16033,19203,0.85
18059,21215,0.85
30219,32083,0.85
17973,32080,0.85
9582,12203,0.85
9582,20702,0.85
12203,20702,0.85
19217,26319,0.85
278,28217,0.85
4294,11550,0.85
18627,31479,0.85
18627,32414,0.85
31479,32414,0.85
8264,14270,0.85
18022,18506,0.85
9929,31652,0.85
9255,25872,0.85
17824,18794,0.85
10625,18019,0.85
1264,13330,0.85
7044,18389,0.85
9613,16369,0.85
9613,23206,0.85
10523,22546,0.85
16369,23206,0.85
19879,27355,0.85
14897,16304,0.85
13588,28204,0.85
13588,28735,0.85
28204,28735,0.85
7995,16429,0.85
7995,20088,0.85
16429,20088,0.85
599,7433,0.85
599,30559,0.85
6502,16164,0.85
6502,21461,0.85
7147,19376,0.85
7147,31141,0.85
7433,30559,0.85
7563,8300,0.85
12742,22276,0.85
12742,25688,0.85
16164,21461,0.85
19376,31141,0.85
21155,32839,0.85
22276,25688,0.85
2322,16825,0.85
2322,20466,0.85
2322,23140,0.85
5404,13365,0.85
5404,25425,0.85
13365,25425,0.85
16825,20466,0.85
16825,23140,0.85
20466,23140,0.85
11265,27685,0.85
22494,30286,0.85
24309,24755,0.85
315,19691,0.85
2965,18553,0.85
2965,25154,0.85
2965,30059,0.85
18553,25154,0.85
18553,30059,0.85
25154,30059,0.85
10343,29624,0.85
1731,8679,0.85
1731,14776,0.85
8679,14776,0.85
609,6281,0.85
609,8197,0.85
6281,8197,0.85
8514,28779,0.85
17143,27487,0.85
17143,28738,0.85
27487,28738,0.85
7579,12373,0.85
7579,32417,0.85
12373,32417,0.85
11674,26931,0.85
13655,14180,0.85
15485,15626,0.85
10050,30739,0.85
10050,32960,0.85
30739,32960,0.85
1932,17338,0.85
1932,19128,0.85
1932,28620,0.85
8526,24462,0.85
8526,24561,0.85
17338,19128,0.85
17338,28620,0.85
19128,28620,0.85
24462,24561,0.85
11815,30028,0.85
18353,23732,0.85
5274,31472,0.85
10385,11179,0.85
11534,20362,0.85
8099,20228,0.85
8099,26262,0.85
20228,26262,0.85
3454,6490,0.85
3454,31943,0.85
6490,31943,0.85
7523,16983,0.85
20969,25435,0.85
19949,22046,0.85
10723,22080,0.85
10723,27322,0.85
22080,27322,0.85
8221,13391,0.85
8221,28254,0.85
13391,28254,0.85
27651,29490,0.85
3607,5554,0.85
3607,27866,0.85
5554,27866,0.85
25011,25848,0.85
25011,32723,0.85
25848,32723,0.85
13300,13523,0.85
13300,25036,0.85
13523,25036,0.85
14695,27807,0.85
14695,31093,0.85
27807,31093,0.85
16370,25602,0.85
16370,31426,0.85
16370,33063,0.85
23036,30438,0.85
25602,31426,0.85
25602,33063,0.85
31426,33063,0.85
16520,20202,0.85
13199,17665,0.85
13199,18346,0.85
17665,18346,0.85
14149,16500,0.85
14149,30298,0.85
16500,30298,0.85
13759,27972,0.85
13759,32194,0.85
27972,32194,0.85
10109,19635,0.85
7960,25707,0.85
10894,11846,0.85
3674,6319,0.85
3674,9774,0.85
6319,9774,0.85
10688,13843,0.85
10688,21942,0.85
13843,21942,0.85
14557,18424,0.85
20916,23609,0.85
20916,24580,0.85
23609,24580,0.85
3068,12991,0.85
3068,14133,0.85
12991,14133,0.85
14020,17686,0.85
14020,29401,0.85
17686,29401,0.85
20524,27652,0.85
9541,17770,0.85
9541,21004,0.85
17770,21004,0.85
73,7489,0.85
73,12348,0.85
2476,3530,0.85
2476,24703,0.85
3530,24703,0.85
4337,28164,0.85
4731,7390,0.85
7489,12348,0.85
18224,25768,0.85
13145,23653,0.85
14596,18859,0.85
8088,21880,0.85
8088,33153,0.85
18875,28808,0.85
21880,33153,0.85
5875,14359,0.85
5875,17744,0.85
14359,17744,0.85
20928,30829,0.85
14459,17064,0.85
14459,21230,0.85
14459,21267,0.85
17064,21230,0.85
17064,21267,0.85
21230,21267,0.85
351,13056,0.85
351,18779,0.85
13056,18779,0.85
17803,28433,0.85
5778,17760,0.85
27298,28573,0.85
27298,32764,0.85
28573,32764,0.85
7687,10268,0.85
11300,15150,0.85
11300,27345,0.85
11300,28976,0.85
15150,27345,0.85
15150,28976,0.85
27345,28976,0.85
7065,11175,0.85
7065,25599,0.85
11175,25599,0.85
1690,12010,0.85
1690,14351,0.85
1690,18514,0.85
12010,14351,0.85
12010,18514,0.85
14351,18514,0.85
9940,10562,0.85
2014,21303,0.85
2014,32878,0.85
21303,32878,0.85
131,12668,0.85
670,17826,0.85
786,1883,0.85
786,12042,0.85
786,29457,0.85
1827,10327,0.85
1827,14022,0.85
1827,27959,0.85
1883,12042,0.85
1883,29457,0.85
2000,16997,0.85
2000,23797,0.85
2101,10271,0.85
2101,28847,0.85
2489,4825,0.85
2489,5356,0.85
3956,11875,0.85
4197,16131,0.85
4197,29907,0.85
4783,27791,0.85
4825,5356,0.85
6045,24736,0.85
7832,13377,0.85
8984,22629,0.85
8984,23659,0.85
9039,23321,0.85
9039,33171,0.85
9183,18446,0.85
9183,18450,0.85
9183,23555,0.85
9435,10306,0.85
9693,10270,0.85
10271,28847,0.85
10327,14022,0.85
10327,27959,0.85
11199,30280,0.85
12042,29457,0.85
12103,15210,0.85
12103,17899,0.85
13384,24174,0.85
13384,28952,0.85
13717,13869,0.85
13717,31930,0.85
13746,16638,0.85
13746,25206,0.85
13869,31930,0.85
14022,27959,0.85
15210,17899,0.85
16131,29907,0.85
16625,23111,0.85
16625,28274,0.85
16638,25206,0.85
16997,23797,0.85
17144,28246,0.85
17467,19069,0.85
17467,31954,0.85
18446,18450,0.85
18446,23555,0.85
18450,23555,0.85
19069,31954,0.85
20044,21136,0.85
22629,23659,0.85
23111,28274,0.85
23321,33171,0.85
24174,28952,0.85
5322,8636,0.85
5322,21726,0.85
8636,21726,0.85
3534,7781,0.85
6935,21689,0.85
6935,31336,0.85
21689,31336,0.85
9931,15646,0.85
9931,20659,0.85
15646,20659,0.85
9586,23390,0.85
2017,4848,0.85
13880,15447,0.85
13880,22702,0.85
15447,22702,0.85
4378,10875,0.85
18626,27151,0.85
11224,14733,0.85
11224,19235,0.85
14733,19235,0.85
16301,18610,0.85
16301,21498,0.85
18610,21498,0.85
6061,18784,0.85
6061,19976,0.85
18784,19976,0.85
7186,16219,0.85
952,6771,0.85
3471,3566,0.85
8156,31223,0.85
12478,32693,0.85
18456,18713,0.85
18456,19638,0.85
18713,19638,0.85
392,9734,0.85
392,29177,0.85
9734,29177,0.85
4503,4565,0.85
4503,32923,0.85
4565,32923,0.85
2396,27054,0.85
2396,27681,0.85
3809,4911,0.85
27054,27681,0.85
2187,27343,0.85
3365,9188,0.85
3365,14060,0.85
3365,28242,0.85
9188,14060,0.85
9188,28242,0.85
14060,28242,0.85
26706,29362,0.85
11577,14436,0.85
845,1062,0.85
845,9341,0.85
1062,9341,0.85
20885,28951,0.85
3424,6830,0.85
3424,32853,0.85
6830,32853,0.85
3625,9171,0.85
3625,10504,0.85
3625,18801,0.85
3922,32997,0.85
7980,20509,0.85
8722,27229,0.85
9171,10504,0.85
9171,18801,0.85
10504,18801,0.85
